CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,6,-,-,-,"2,160.65",-,450,"1,910.40","2,022.05",450,"23,050.00","2,05,500",0.90,0.95,"62,700",-0.20,0.95,24.08,"2,28,626","31,907","46,924",
,127,-11,15,-,"1,894.95",-156.85,375,"1,901.85","1,922.65",75,"23,100.00","1,64,550",0.95,1.00,"12,600",-0.15,1.00,23.64,"1,55,756","23,339","33,179",
,2,-,-,-,"2,073.45",-,450,"1,800.35","1,937.45",450,"23,150.00",450,1.15,1.35,"64,050",0.05,1.30,23.73,"27,396","2,864","3,447",
,4,-,-,-,"1,959.00",-,450,"1,761.00","1,872.05",450,"23,200.00","1,800",1.25,1.35,"2,400",0.05,1.30,23.14,"42,026","2,712","4,920",
,1,1,2,-,"1,697.80",-35.35,75,"1,728.10","1,822.15",450,"23,250.00",75,1.20,1.55,"1,500",-,1.25,22.44,"22,887",960,"1,554",
,8,-3,3,28.75,"1,715.00",-180.00,450,"1,661.60","1,772.15",450,"23,300.00","3,600",1.30,1.75,"6,900",-0.05,1.30,21.95,"63,298","4,052","5,541",
,-,-,-,-,-,-,450,"1,611.95","1,720.90",450,"23,350.00","2,025",1.40,1.80,300,0.30,1.70,22.04,"28,590","1,486","1,787",
,9,-,-,-,"1,805.00",-,450,"1,562.45","1,672.55",450,"23,400.00","2,100",1.40,1.60,"2,400",-0.05,1.45,21.03,"79,373","7,545","9,278",
,17,-,-,-,"1,749.00",-,450,"1,511.60","1,622.35",450,"23,450.00","1,800",1.65,1.85,750,-,1.55,20.59,"42,227","2,258","2,832",
,505,3,25,25.66,"1,515.00",-141.95,300,"1,510.00","1,520.65",300,"23,500.00","31,500",1.75,1.85,"32,025",0.25,1.85,20.42,"2,47,892","28,228","47,611",
,10,-,-,-,"1,624.00",-,450,"1,413.30","1,522.75",450,"23,550.00","3,525",1.90,2.10,750,0.15,1.90,19.87,"52,306","3,314","3,568",
,10,-,-,-,"1,548.20",-0.35,450,"1,363.20","1,472.20",450,"23,600.00","48,075",1.90,2.05,225,0.25,2.05,19.44,"1,14,263","4,081","11,211",
,1,-,-,-,"1,596.55",-,450,"1,313.75","1,422.65",450,"23,650.00","3,600",2.05,2.20,"1,200",0.05,2.00,18.76,"52,309","3,733","4,852",
,47,1,3,19.70,"1,310.00",-144.35,300,"1,264.15","1,372.65",75,"23,700.00","1,200",2.20,2.35,150,0.15,2.20,18.36,"1,81,475","12,954","27,381",
,4,-,-,-,"1,494.75",-,150,"1,214.95","1,322.75",150,"23,750.00","6,300",2.40,2.55,975,0.30,2.55,18.08,"62,576","1,176","6,088",
,37,-,2,16.78,"1,208.40",-147.20,75,"1,207.80","1,232.90",300,"23,800.00","4,650",2.80,3.00,900,0.40,3.00,17.84,"1,88,151","15,193","37,042",
,1,-,-,-,"1,394.45",-,150,"1,115.80","1,223.20",150,"23,850.00",450,2.90,3.55,750,0.20,3.00,17.18,"63,981","1,227","4,026",
,29,2,6,18.97,"1,113.85",-140.15,75,"1,108.80","1,172.30",150,"23,900.00","5,400",3.20,3.60,"1,500",0.45,3.35,16.80,"2,29,273","8,581","18,380",
,11,-,-,-,"1,214.05",2.50,300,"1,016.55","1,123.80",300,"23,950.00","3,600",3.60,4.20,"3,450",0.65,3.90,16.50,"1,34,483","6,723","9,293",
,"1,576",-53,"1,038",17.91,"1,015.00",-143.10,225,"1,014.10","1,020.15",75,"24,000.00",375,4.25,4.45,300,0.90,4.40,16.13,"5,70,054","14,586","66,477",
,3,-,-,-,"1,140.00",-,300,961.80,981.70,300,"24,050.00",150,4.75,4.95,300,0.85,4.75,15.63,"1,10,185","3,083","4,483",
,87,-,25,20.00,927.95,-128.15,75,914.55,923.40,300,"24,100.00",300,5.40,5.65,300,1.20,5.45,15.27,"2,82,701","3,273","16,749",
,7,4,9,12.66,859.30,-202.70,300,866.25,874.25,300,"24,150.00","1,050",6.20,6.50,"1,125",1.60,6.20,14.89,"1,90,762","19,061","21,053",
,270,11,127,15.81,818.15,-142.10,75,818.10,824.40,300,"24,200.00","1,575",7.05,7.25,300,1.65,6.85,14.42,"3,60,621","4,106","35,164",
,47,39,75,16.08,772.30,-235.30,75,767.60,775.95,75,"24,250.00",375,7.85,8.20,450,2.30,7.95,14.06,"1,67,020","3,591","7,544",
,193,11,237,14.94,721.10,-136.20,75,719.95,727.00,300,"24,300.00","2,025",9.00,9.40,225,2.55,9.00,13.63,"4,05,238","8,830","28,893",
,12,8,18,15.45,677.50,-135.00,75,670.60,677.95,75,"24,350.00",375,10.45,10.90,300,3.60,10.85,13.37,"2,00,049","3,243","6,934",
,292,54,756,14.68,628.20,-129.90,300,623.25,629.25,300,"24,400.00",300,12.25,12.75,300,4.35,12.50,12.96,"3,80,059","11,549","32,917",
,74,47,329,14.83,584.55,-134.25,75,575.10,581.50,300,"24,450.00",300,14.45,14.95,225,5.50,14.85,12.63,"2,53,485","4,053","9,030",
,"2,033",986,"12,975",13.05,529.55,-141.25,300,530.00,533.30,300,"24,500.00",375,17.20,17.55,375,6.25,17.15,12.21,"8,86,107","16,997","55,425",
,155,38,614,12.75,483.75,-134.45,300,482.65,485.55,300,"24,550.00",75,20.40,20.60,450,7.85,20.40,11.86,"3,04,154","5,383","9,188",
,863,379,"7,381",12.32,437.80,-131.40,300,438.10,440.00,75,"24,600.00",75,24.50,24.70,450,9.60,24.50,11.54,"6,72,367","17,640","35,672",
,248,206,"2,992",11.65,390.75,-128.10,75,392.85,395.30,150,"24,650.00",75,29.30,29.65,"1,350",11.75,29.35,11.20,"4,60,399","14,282","19,308",
,"1,917",274,"37,689",11.44,348.25,-128.50,75,349.75,351.85,225,"24,700.00","9,075",36.00,36.20,600,14.80,36.05,10.95,"10,37,695","13,779","36,827",
,819,685,"23,259",11.39,308.90,-120.10,150,307.65,309.00,150,"24,750.00",150,43.60,43.95,75,18.40,43.95,10.68,"6,41,240","12,141","20,155",
,"5,949","4,432","1,93,351",10.92,267.10,-121.00,150,268.20,269.30,150,"24,800.00",150,53.70,54.10,450,23.00,54.20,10.47,"16,47,509","15,011","43,226",
,"2,209","2,015","1,29,158",10.82,231.10,-114.25,150,230.30,231.35,225,"24,850.00",150,65.60,66.10,375,28.15,66.10,10.23,"9,58,899","6,946","17,960",
,"15,966","13,992","7,55,344",10.61,196.20,-107.70,750,195.20,196.40,300,"24,900.00",150,80.55,81.10,150,34.75,81.00,10.04,"25,14,052","20,617","64,800",
,"19,259","18,642","10,80,350",10.47,164.80,-100.00,525,164.45,164.80,75,"24,950.00",150,99.15,99.70,"1,350",41.25,99.10,9.89,"19,14,657","20,474","31,162",
